ID,Module,Sub-module,Requirement#,Description,Metrics,Test Requirements,Pass Criteria,Priority,Version,PRD Chapter Reference,HLD Reference,LLD Reference
REQ-034,Controller Thread Module,Flow Control,FR-CTRL-004,"QoS guarantee, Urgent queue starts processing within 1ms, High queue P99 latency <=10ms, latency histogram statistics","Urgent command latency statistics, P99.9<=1ms",Urgent command latency statistics,P99.9<=1ms,P0,V2.0,5.2.5,,
REQ-035,Controller Thread Module,Flow Control,FR-CTRL-004,"GC flow control, GC bandwidth default max 30%, min 5%, pause GC during high-priority IO, GC minimum bandwidth guarantee 5%",GC bandwidth does not exceed 30% of total bandwidth,GC bandwidth does not exceed 30% of total bandwidth,GC bandwidth within limits,P0,V1.5,5.2.5,,
REQ-036,Media Thread Module,NAND Flash Hierarchy,FR-MEDIA-001,"Hierarchy definition: Channel->Chip->Die->Plane->Block->Page, configurable parameters (16 channels, 4 Chips/channel, 2 Dies/Chip, 2 Planes/Die, 4096 Blocks/Plane, 512 Pages/Block, 16KB/page)",Hierarchy created and initialized successfully,Hierarchy created and initialized successfully,All levels accessible correctly,P0,V1.0,5.3.2,,
REQ-037,Media Thread Module,NAND Flash Hierarchy,FR-MEDIA-001,"Total capacity calculation, default configuration ~4TB raw capacity, user-visible ~2.56TB (after 20% OP deduction)",Capacity calculation verified,Capacity calculation verified,Namespace capacity correct,P0,V1.0,5.3.2,,
REQ-038,Media Thread Module,NAND Media Timing Model,FR-MEDIA-002,"Base timing parameters: tR_LSB=35us, tR_CSB=70us, tR_MSB=100us, tPROG_SLC=100us, tPROG_TLC=800us, tERS=3000us","Timing parameters configurable, timing delay error <5% vs nominal",Timing parameters configurable,Timing delay error <5% vs nominal,P0,V1.5,5.3.3,,
REQ-039,Media Thread Module,NAND Media Timing Model,FR-MEDIA-002,"Timing model implementation, maintain Channel/Die/Plane EAT (Earliest Available Time), calculate command execution time, support Multi-Plane/Die Interleaving/Chip Enable concurrency",Timing model calculation verified,Timing model calculation verified,EAT calculation correct,P0,V1.5,5.3.3,,
REQ-040,Media Thread Module,NAND Media Timing Model,FR-MEDIA-002,"Multi-plane concurrency, same Die two Planes execute same operation simultaneously, requires Block/Page offset alignment, EAT=max(plane0_eat, plane1_eat)+tOperation",Multi-Plane operation verified,Multi-Plane operation verified,Latency meets expectations,P0,V1.5,5.3.3,,
REQ-041,Media Thread Module,NAND Media Command Execution Engine,FR-MEDIA-003,"NAND command support: Page Read(0x00/0x30), Cache Read(0x31), Multi-Plane Read(0x32), Page Program(0x80/0x10), Cache Program(0x80/0x15), Multi-Plane Program(0x80/0x11), Block Erase(0x60/0xD0), Multi-Plane Erase(0x60/0xD1), Read Status(0x70), Reset(0xFF), Read ID(0x90), Program Suspend(0xB0), Program Resume(0xD0), Erase Suspend(0xB0)",Command queue receives and executes,Command queue receives and executes,All commands execute successfully,P0,V1.5,5.3.4,,
REQ-042,Media Thread Module,NAND Media Command Execution Engine,FR-MEDIA-003,"Command queue design, each Channel has independent command queue (default 128 entries), logically grouped by Die/Plane, support command suspend/resume",128 commands queued for processing,128 commands queued for processing,Queue management normal,P0,V1.5,5.3.4,,
REQ-043,Media Thread Module,NAND Media Command Execution Engine,FR-MEDIA-003,"Completion notification mechanism, lock-free completion queue, includes Command ID/timestamp/result/actual latency, support batch completion",Commands correctly notified after completion,Commands correctly notified after completion,Notification latency <1ms,P0,V1.5,5.3.4,,
REQ-044,Media Thread Module,NAND Reliability Modeling,FR-MEDIA-004,"P/E cycle degradation model, each Block maintains erase_count, BER=A*log(PE_cycles)+B, exceeding PE_CYCLE_LIMIT marks bad block",Block marked bad after 3000 P/E cycles,Block marked bad after 3000 P/E cycles,Functional,P0,V2.0,5.3.5,,
REQ-045,Media Thread Module,NAND Reliability Modeling,FR-MEDIA-004,"Read disturb model, each Block maintains read_count, threshold 100000 reads/block, exceeding triggers Refresh",Read disturb detection effective,Read disturb detection effective,Refresh triggered,P0,V2.0,5.3.5,,
REQ-046,Media Thread Module,NAND Reliability Modeling,FR-MEDIA-004,"Data retention model, time acceleration ratio default 1000:1, introduce bit errors after simulated time T",Data retention aging test,Data retention aging test,Bit errors correctly introduced,P0,V2.0,5.3.5,,
REQ-047,Media Thread Module,NAND Reliability Modeling,FR-MEDIA-004,"Bad block management, maintain global Bad Block Table (BBT), factory bad blocks 2% randomly marked, runtime bad blocks marked when exceeding P/E or 3 retry failures, 5% spare blocks reserved per Die, BBT stored in NOR Flash",Bad block management verified,Bad block management verified,Spare blocks correctly replace bad blocks,P0,V2.0,5.3.5,,
REQ-048,Media Thread Module,NAND Data Storage Mechanism,FR-MEDIA-005,"DRAM storage layout, reserved DRAM indexed hierarchically by Channel/Chip/Die/Plane/Block/Page, OOB appended after each page, unwritten pages filled with 0xFF",Storage layout verified,Storage layout verified,Data stored correctly,P0,V1.0,5.3.6,,
REQ-049,Media Thread Module,NAND Data Storage Mechanism,FR-MEDIA-005,"Persistence strategy, incremental persistence (after each Block Erase), periodic snapshot (every 10 minutes), graceful shutdown full persistence, dedicated background thread",Persistence verified,Persistence verified,Data fully recovered after restart,P0,V1.5,5.3.6,,
REQ-050,Media Thread Module,NAND Data Storage Mechanism,FR-MEDIA-005,"Recovery mechanism, read persistence file on restart to restore DRAM state, read metadata files (l2p_table.bin, bad_block.bin, erase_count.bin) to restore FTL, CRC check failure logs warning and initializes to 0xFF, --fresh-start skips recovery",Recovery test,Recovery test,State correctly recovered,P0,V1.5,5.3.6,,
REQ-051,Media Thread Module,NOR Flash Media Emulation,FR-MEDIA-006,"NOR Flash specs: default 256MB, sector 64KB, 4096 sectors, read 90ns/byte, page program 100us, sector erase 200ms, PE lifetime 100000 cycles, SPI interface emulation",NOR specs verified,NOR specs verified,Capacity correct,P0,V1.5,5.3.7,,
REQ-052,Media Thread Module,NOR Flash Media Emulation,FR-MEDIA-006,"Storage partitions: Bootloader(4MB), Firmware Slot A(64MB), Firmware Slot B(64MB), Config Area(8MB), BBT(8MB), Log Area(16MB), System Info(4MB)",Partition verified,Partition verified,Partition addresses correct,P0,V1.5,5.3.7,,
REQ-053,Media Thread Module,NOR Flash Media Emulation,FR-MEDIA-006,"Operation commands: READ(0x03), FAST_READ(0x0B), PAGE_PROGRAM(0x02), SECTOR_ERASE(0x20), CHIP_ERASE(0xC7), WRITE_ENABLE(0x06), WRITE_DISABLE(0x04), READ_STATUS_REG(0x05), READ_ID(0x9F)",Command test,Command test,All commands execute normally,P0,V1.5,5.3.7,,
REQ-054,Media Thread Module,NOR Flash Media Emulation,FR-MEDIA-006,"Data persistence, single binary file /var/hfsss/nor/firmware_storage.bin, each write operation synced to file (msync+fsync)",Persistence test,Persistence test,NOR data intact after restart,P0,V1.5,5.3.7,,
REQ-055,Hardware Abstraction Layer,NAND Driver Module,FR-HAL-001,"NAND driver API: nand_init/nand_deinit, nand_read_page_async/nand_write_page_async/nand_erase_block_async, nand_multi_plane_read_async/nand_multi_plane_write_async, nand_read_status/nand_read_id/nand_reset, nand_set_feature/nand_get_feature, nand_program_suspend/nand_program_resume/nand_erase_suspend, nand_get_die_state/nand_get_channel_earliest_available_time, nand_get_geometry/nand_get_timing",API call test,API call test,All APIs work normally,P0,V1.0,5.5.1,,
REQ-056,Hardware Abstraction Layer,NAND Driver Module,FR-HAL-001,"Driver internal implementation, maintain per-Channel command issue queue, send commands to media thread via message queue, maintain Die state machine (IDLE->CMD_RECEIVED->EXECUTING->COMPLETE), calculate simulated ONFI command sequences, track channel bus occupancy time",Driver implementation verified,Driver implementation verified,State machine transitions correct,P0,V1.0,5.5.1,,
REQ-057,Hardware Abstraction Layer,NOR Driver Module,FR-HAL-002,"NOR driver API: nor_init, nor_read, nor_write, nor_sector_erase, nor_chip_erase, nor_write_enable, nor_write_disable, nor_read_status, nor_wait_ready, nor_read_id, nor_partition_read, nor_partition_write, nor_partition_erase",API call test,API call test,All APIs work normally,P0,V1.5,5.5.2,,
REQ-058,Hardware Abstraction Layer,NOR Driver Module,FR-HAL-002,"Driver internal implementation, NOR emulated as process shared memory byte array, read with direct memory access + delay injection (90ns*len), write checks write-enable + can only write 0 not 1, erase sets 0xFF + 200ms delay, write protection detection, persistence synced after each write/erase",Driver implementation verified,Driver implementation verified,Delay injection correct,P0,V1.5,5.5.2,,
REQ-059,Hardware Abstraction Layer,NVMe/PCIe Module Management,FR-HAL-003,"Command completion submission, receive Application Layer command completion notification, build 64-byte CQE (DW0/DW1/DW2/DW3), call kernel module write_cqe_and_notify, kernel writes CQE to physical memory + delivers MSI-X interrupt",Command completion test,Command completion test,CQE correctly written + interrupt triggered,P0,V1.0,5.5.3,,
REQ-060,Hardware Abstraction Layer,NVMe/PCIe Module Management,FR-HAL-003,"Async event management, maintain pending async event queue, Async Event Request command returns immediately or suspends, support Error Status/Smart/Health Status Change/Notice/NVM Command Set Specific events",Async event test,Async event test,Events correctly notified,P0,V2.0,5.5.3,,
REQ-061,Hardware Abstraction Layer,NVMe/PCIe Module Management,FR-HAL-003,"PCIe link state management, monitor PCIe link state (Active/L0/L1/L2), implement ASPM software configuration, respond to PCIe hot reset/FLR to execute controller reset",PCIe reset test,PCIe reset test,Reset procedure executes normally,P0,V2.0,5.5.3,,
REQ-062,Hardware Abstraction Layer,NVMe/PCIe Module Management,FR-HAL-003,"Namespace management interface, maintain Namespace list (up to 4096), Namespace create/delete allocates/releases NAND space, update mapping tables, Namespace attributes (NSID/NSZE/NCAP/NUSE/feature flags)",Namespace management test,Namespace management test,Create and delete work normally,P0,V1.5,5.5.3,,
REQ-063,Hardware Abstraction Layer,Power Management IC Driver,FR-HAL-004,"NVMe power state emulation: PS0(Active 25W), PS1(Active reduced 18W), PS2(Idle 8W, 5ms enter/exit), PS3(Low Power 3W, 50ms/30ms), PS4(Deep Sleep 0.5W, 500ms/100ms)",Power state switch test,Power state switch test,Power consumption states transition correctly,P0,V2.0,5.5.4,,
REQ-064,Hardware Abstraction Layer,Power Management IC Driver,FR-HAL-004,"Functional requirements: maintain current power state, respond to Set Feature (Power Management), record cumulative time per power state, automatic power state transition, simulate delay when exiting low power state, power consumption statistics interface",Power consumption statistics test,Power consumption statistics test,Statistics data correct,P0,V2.0,5.5.4,,
REQ-065,Common Platform Layer,Real-Time OS Emulation,FR-CS-001,"RTOS primitive implementation: Task simulated with pthread, support 1~32 priority levels, task states (Ready/Running/Blocked/Suspended), time slice default 1ms, task stack default 16KB, task_create/task_delete/task_suspend/task_resume API",Task creation test,Task creation test,Tasks run normally,P0,V1.5,5.6.1,,
REQ-066,Common Platform Layer,Real-Time OS Emulation,FR-CS-001,"Message queue: fixed-size/variable-length messages, blocking/non-blocking send/receive, timeout parameter, queue depth default 64, thread-safe implementation",Message queue test,Message queue test,Messages transmitted correctly,P0,V1.5,5.6.1,,
REQ-067,Common Platform Layer,Real-Time OS Emulation,FR-CS-001,"Semaphore/Mutex/Event group: binary/counting semaphore, sem_binary_create/sem_take/sem_give, sem_counting_create, timeout support, priority inheritance to prevent priority inversion, recursive mutex, 32-bit event flags event_set/event_clear/event_wait",Semaphore test,Semaphore test,Synchronization works normally,P0,V1.5,5.6.1,,
REQ-068,Common Platform Layer,Real-Time OS Emulation,FR-CS-001,"Software timer/Memory pool: high-resolution clock based (CLOCK_MONOTONIC), one-shot/periodic trigger, precision 100us, timer callback executes in Timer task, fixed-size block memory pool (32B/64B/128B/256B/512B/1KB/4KB), pool_alloc/pool_free",Timer test,Timer test,Timers trigger correctly,P0,V2.0,5.6.1,,
REQ-069,Common Platform Layer,Task Scheduling,FR-CS-002,"Static task binding: critical tasks bound to dedicated CPU cores, FTL->Core 0-3, GC/WL->Core 4-5, HAL NAND Driver->Core 6-21, NVMe Interface->Core 22-23, Common Service->Core 24-25, implemented via pthread_setaffinity_np",CPU binding test,CPU binding test,Tasks run on designated cores,P0,V1.5,5.6.2,,
REQ-070,Common Platform Layer,Task Scheduling,FR-CS-002,"Priority scheduling/Load balancing: priority-based preemptive scheduling, SCHED_FIFO real-time policy, high priority tasks can preempt low priority, FTL task dynamic assignment, monitor each firmware core CPU usage (>85% triggers load balancing), scheduling statistics (runtime/wait time/preemption count)",Scheduling test,Scheduling test,High priority tasks execute first,P0,V2.0,5.6.2,,
REQ-071,Common Platform Layer,Memory Management,FR-CS-003,"Memory partition planning: firmware working memory total 4GB, FTL mapping table 2GB, command buffer 512MB, Write Buffer 1GB, system heap 256MB, kernel code/data 128MB, reserved/protected 128MB",Memory partition verification,Memory partition verification,Partition sizes correct,P0,V1.0,5.6.3,,
REQ-072,Common Platform Layer,Memory Management,FR-CS-003,"Memory management strategy: large data structures statically pre-allocated at startup, mmap(MAP_ANONYMOUS|MAP_POPULATE)+mlock, small objects use dedicated memory pool, avoid malloc/free on critical path, mprotect access protection for critical data regions, Guard Page for stack overflow detection, monitor available memory below threshold triggers pressure alert",Memory management test,Memory management test,Memory allocation normal,P0,V1.0,5.6.3,,
REQ-073,Common Platform Layer,Bootloader,FR-CS-004,"Boot sequence: Phase 0 Power-on reset, Phase 1 Bootloader execution, Phase 2 Firmware image loading, Phase 3 Hardware initialization, Phase 4 FTL initialization, Phase 5 System ready",Boot sequence test,Boot sequence test,3-8 second boot delay configurable,P0,V1.5,5.6.4,,
REQ-074,Common Platform Layer,Bootloader,FR-CS-004,"Bootloader features: boot time simulation 3-8 seconds, dual-image redundancy Slot A/B switching, secure boot SHA-256 verification, boot log written to NOR Log partition",Bootloader features test,Bootloader features test,Image switching normal,P0,V2.0,5.6.4,,
REQ-075,Common Platform Layer,Power On/Off Service,FR-CS-005,"Power-on service: detect last power-off type (normal/abnormal/power-cut), normal shutdown restores from persistence, abnormal shutdown checks Write Buffer log replay or discard, POST self-test, SMART records power-on count",Power-on test,Power-on test,State correctly recovered,P0,V1.5,5.6.5,,
REQ-076,Common Platform Layer,Power On/Off Service,FR-CS-005,"Power-off service: normal shutdown (NVMe Shutdown) stops new IO, waits for in-flight IO completion, flushes Write Buffer, updates L2P/BBT/PE counts, writes integrity flag, sets CSTS.SHST=0x02; abnormal shutdown atexit/signal handler catches SIGTERM, performs best-effort rapid persistence, maintains WAL, SMART records unsafe shutdown count",Power-off test,Power-off test,Data fully saved on normal shutdown,P0,V1.5,5.6.5,,
REQ-077,Common Platform Layer,Out-of-Band Management,FR-CS-006,"Interface form: Unix Domain Socket (/var/run/hfsss.sock) JSON-RPC, /proc filesystem interface (/proc/hfsss/), REST API (optional V2.0 localhost:8080)",OOB interface test,OOB interface test,Interface responds normally,P0,V2.0,5.6.6,,
REQ-078,Common Platform Layer,Out-of-Band Management,FR-CS-006,"OOB management functions: status query GET /status, SMART query GET /smart, performance statistics GET /perf, parameter modification POST /config, fault injection POST /fault, force GC POST /gc/trigger, snapshot save POST /snapshot, log export GET /log, channel statistics GET /channel/{id}, Die status GET /die/{ch}/{chip}/{die}",OOB function test,OOB function test,All functions work normally,P0,V2.0,5.6.6,,
REQ-079,Common Platform Layer,Out-of-Band Management,FR-CS-006,"SMART information implementation: Log Page ID=0x02, Critical Warning(0), Temperature(1-2), Available Spare(3), Available Spare Threshold(4), Percentage Used(5), Data Units Read(32-47), Data Units Written(48-63), Host Read Commands(64-79), Host Write Commands(80-95), Controller Busy Time(96-111), Power Cycles(112-127), Power On Hours(128-143), Unsafe Shutdowns(144-159), Media and Data Integrity Errors(160-175)",SMART test,SMART test,All fields correct,P0,V2.0,5.6.6,,
REQ-080,Common Platform Layer,Inter-Core Communication,FR-CS-007,"Communication mechanism: message passing (per core pair SPSC Ring Buffer), message format (type 4B + length 4B + max 256B), ipc_send/ipc_recv API, eventfd notification; shared memory (large data pass pointers), reference counting, access protection (RWLock/seqlock); inter-core signals (ipc_signal simulates SGI); inter-core spinlock (GCC atomics, timeout-based deadlock detection)",Inter-core communication test,Inter-core communication test,Messages transmitted correctly,P0,V2.0,5.6.7,,
REQ-081,Common Platform Layer,System Stability Monitoring,FR-CS-008,"Watchdog: each task feeds watchdog every 500ms (watchdog_feed), Watchdog periodically checks all task feed status, timeout without feeding treated as hung triggering system Panic, Watchdog timeout configurable per task type",Watchdog test,Watchdog test,Timeout triggers Panic,P0,V2.0,5.6.8,,
REQ-082,Common Platform Layer,System Stability Monitoring,FR-CS-008,"System resource monitoring: CPU usage per-second statistics for each firmware core thread, memory usage monitoring per memory partition, NAND channel queue depth monitoring, free block watermark monitoring per Die",Resource monitoring test,Resource monitoring test,Statistics data correct,P0,V2.0,5.6.8,,
REQ-083,Common Platform Layer,System Stability Monitoring,FR-CS-008,"Performance anomaly detection/Temperature emulation: command latency P50/P90/P99/P99.9 real-time calculation, P99.9 exceeding threshold logs alert and ASYNC EVENT notification, GC efficiency monitoring, T=T_ambient+IOPS*COEFF_I+BW*COEFF_B temperature estimation, temperature >70C sets SMART Critical Warning, temperature >75C throttles (IOPS limit 50%)",Anomaly detection test,Anomaly detection test,Alerts triggered correctly,P0,V2.0,5.6.8,,
REQ-084,Common Platform Layer,Panic/Assert Handling,FR-CS-009,"Assert mechanism: ASSERT(condition, msg) macro, false condition triggers assertion failure, prints filename/line number/condition/error message, logs to log, performs scene preservation, calls Panic procedure",Assert test,Assert test,Assertion triggers correctly,P0,V2.0,5.6.9,,
